성별,연령대,가구원수,소득구간,가계지출금액,가계지출_소비지출금액,가구일련번호
남자,30대,1인가구,중간소득(월 300~700만원 미만),2131951,1502541,4583
남자,30대,1인가구,중간소득(월 300~700만원 미만),2398709,1855691,6263
남자,30대,1인가구,중간소득(월 300~700만원 미만),2795242,1668642,1030
남자,30대,1인가구,중간소득(월 300~700만원 미만),2441715,1951655,697
남자,30대,1인가구,중간소득(월 300~700만원 미만),2731582,1996472,716
남자,30대,1인가구,중간소득(월 300~700만원 미만),3802641,2523837,6637
남자,30대,1인가구,중간소득(월 300~700만원 미만),4119445,3035526,10090
남자,30대,1인가구,고소득(월 700만원 이상),4914083,2508812,965
남자,30대,1인가구,고소득(월 700만원 이상),5616177,2946940,3139
남자,30대,1인가구,중간소득(월 300~700만원 미만),2986428,1733548,501
남자,30대,1인가구,중간소득(월 300~700만원 미만),4840795,3110234,3217
남자,30대,1인가구,중간소득(월 300~700만원 미만),2310552,650187,591
남자,30대,1인가구,중간소득(월 300~700만원 미만),2499711,1573026,11357
남자,30대,1인가구,중간소득(월 300~700만원 미만),2596760,1919033,9385
남자,30대,1인가구,중간소득(월 300~700만원 미만),2741998,1979685,4722
남자,30대,1인가구,중간소득(월 300~700만원 미만),29544361,27071260,6539
남자,30대,1인가구,중간소득(월 300~700만원 미만),3073590,2215254,859
남자,30대,1인가구,중간소득(월 300~700만원 미만),4095735,3286535,5382
남자,30대,1인가구,중간소득(월 300~700만원 미만),2788392,1941604,7753
남자,30대,1인가구,중간소득(월 300~700만원 미만),3981238,2783108,12248
남자,30대,1인가구,중간소득(월 300~700만원 미만),4924224,3521697,2890
남자,30대,1인가구,저소득(월 300만원 미만),1138555,1011545,9959
남자,30대,1인가구,저소득(월 300만원 미만),1082740,782753,2555
남자,30대,1인가구,저소득(월 300만원 미만),1901175,1641928,3609
남자,30대,1인가구,저소득(월 300만원 미만),2625637,1747335,1193
남자,30대,1인가구,저소득(월 300만원 미만),839724,839724,4958
남자,30대,1인가구,저소득(월 300만원 미만),1573941,1063291,1684
남자,30대,1인가구,중간소득(월 300~700만원 미만),2159066,903104,3332
남자,30대,1인가구,중간소득(월 300~700만원 미만),2567145,1930548,1493
남자,30대,1인가구,중간소득(월 300~700만원 미만),2644748,2111220,12605
남자,30대,1인가구,중간소득(월 300~700만원 미만),2992868,1812854,1142
남자,30대,1인가구,중간소득(월 300~700만원 미만),8617901,8147631,1127
남자,30대,1인가구,중간소득(월 300~700만원 미만),2460554,1850094,996
남자,30대,1인가구,중간소득(월 300~700만원 미만),2639889,1487879,8614
남자,30대,1인가구,고소득(월 700만원 이상),3887347,2000101,12104
남자,30대,1인가구,저소득(월 300만원 미만),1270586,1091260,781
남자,30대,1인가구,저소득(월 300만원 미만),1202627,961270,7664
남자,30대,1인가구,저소득(월 300만원 미만),2073803,1719937,11399
남자,30대,1인가구,저소득(월 300만원 미만),2308005,1887315,334
남자,30대,1인가구,저소득(월 300만원 미만),2460323,2072795,12389
남자,30대,1인가구,저소득(월 300만원 미만),2935601,2329121,10108
남자,30대,1인가구,중간소득(월 300~700만원 미만),1542148,1106998,4738
남자,30대,1인가구,중간소득(월 300~700만원 미만),1798359,1450649,3475
남자,30대,1인가구,중간소득(월 300~700만원 미만),1992640,1482937,7453
남자,30대,1인가구,중간소득(월 300~700만원 미만),2058567,1738247,928
남자,30대,1인가구,중간소득(월 300~700만원 미만),2135840,1599957,11610
남자,30대,1인가구,중간소득(월 300~700만원 미만),2605438,2065393,4523
남자,30대,1인가구,중간소득(월 300~700만원 미만),3056964,1849605,8473
남자,30대,1인가구,중간소득(월 300~700만원 미만),3078214,2416548,4835
남자,30대,1인가구,중간소득(월 300~700만원 미만),1522594,926057,6853
남자,30대,1인가구,중간소득(월 300~700만원 미만),2616030,1564280,4751
남자,30대,1인가구,중간소득(월 300~700만원 미만),2635371,1644361,12470
남자,30대,1인가구,중간소득(월 300~700만원 미만),2930967,2400383,8470
남자,30대,1인가구,중간소득(월 300~700만원 미만),3169953,2325713,12622
남자,30대,1인가구,중간소득(월 300~700만원 미만),11448957,7601612,5991
남자,30대,1인가구,중간소득(월 300~700만원 미만),4231067,3315146,6529
남자,30대,1인가구,중간소득(월 300~700만원 미만),3317941,1915177,9141
남자,30대,1인가구,고소득(월 700만원 이상),4935505,2246370,7170
남자,30대,1인가구,저소득(월 300만원 미만),2112810,1364865,2979
남자,30대,1인가구,저소득(월 300만원 미만),2445430,2001140,4709
남자,30대,1인가구,중간소득(월 300~700만원 미만),1731266,1181034,10101
남자,30대,1인가구,중간소득(월 300~700만원 미만),2046950,1343644,11516
남자,30대,1인가구,중간소득(월 300~700만원 미만),2059489,1295949,4001
남자,30대,1인가구,중간소득(월 300~700만원 미만),2618128,1689150,8265
남자,30대,1인가구,중간소득(월 300~700만원 미만),2705669,1620882,1625
남자,30대,1인가구,중간소득(월 300~700만원 미만),2943645,2128495,4710
남자,30대,1인가구,중간소득(월 300~700만원 미만),3775496,2437624,7184
남자,30대,1인가구,중간소득(월 300~700만원 미만),2614598,1477778,5384
남자,30대,1인가구,중간소득(월 300~700만원 미만),3088054,2339478,2037
남자,30대,1인가구,중간소득(월 300~700만원 미만),2777694,1878655,5224
남자,30대,1인가구,중간소득(월 300~700만원 미만),3960334,2755481,6126
남자,30대,1인가구,중간소득(월 300~700만원 미만),4432480,2990224,4686
남자,30대,1인가구,중간소득(월 300~700만원 미만),2762099,1436467,5729
남자,30대,1인가구,중간소득(월 300~700만원 미만),2965695,1589018,6434
남자,30대,1인가구,중간소득(월 300~700만원 미만),4269111,3232421,10127
남자,30대,1인가구,고소득(월 700만원 이상),5252289,3429082,9380
남자,30대,1인가구,저소득(월 300만원 미만),1290729,1265729,10095
남자,30대,1인가구,중간소득(월 300~700만원 미만),2480862,2184112,3135
남자,30대,1인가구,중간소득(월 300~700만원 미만),2933043,2335991,12109
남자,30대,1인가구,중간소득(월 300~700만원 미만),2957968,2231798,1046
남자,30대,1인가구,중간소득(월 300~700만원 미만),4210788,3913668,12132
남자,30대,1인가구,중간소득(월 300~700만원 미만),2534232,1524320,785
남자,30대,1인가구,중간소득(월 300~700만원 미만),4107308,3202313,8615
남자,30대,1인가구,고소득(월 700만원 이상),6136189,4208765,3187
남자,30대,1인가구,저소득(월 300만원 미만),1695193,1473515,992
남자,30대,1인가구,저소득(월 300만원 미만),2214316,1749089,7702
남자,30대,1인가구,저소득(월 300만원 미만),2574893,1682293,9455
남자,30대,1인가구,중간소득(월 300~700만원 미만),1335718,747533,4635
남자,30대,1인가구,중간소득(월 300~700만원 미만),16851773,15583850,12626
남자,30대,1인가구,중간소득(월 300~700만원 미만),1851594,1421896,7005
남자,30대,1인가구,중간소득(월 300~700만원 미만),2183906,1737189,8475
남자,30대,1인가구,중간소득(월 300~700만원 미만),2195045,1754695,3859
남자,30대,1인가구,중간소득(월 300~700만원 미만),2296246,1733324,10110
남자,30대,1인가구,중간소득(월 300~700만원 미만),2669040,2104515,12625
남자,30대,1인가구,중간소득(월 300~700만원 미만),2966510,1881670,7004
남자,30대,1인가구,중간소득(월 300~700만원 미만),4697199,1257862,10087
남자,30대,1인가구,중간소득(월 300~700만원 미만),2569602,1333442,1602
남자,30대,1인가구,중간소득(월 300~700만원 미만),2999051,1874476,609
남자,30대,1인가구,중간소득(월 300~700만원 미만),3906147,3171628,6254
남자,30대,1인가구,중간소득(월 300~700만원 미만),2553006,1689226,6634
남자,30대,1인가구,고소득(월 700만원 이상),3890531,2922108,11444
